Date,Name,Year,Letterboxd URI,Rating
2021-08-11,Before Sunset,2004,https://boxd.it/2bcg,5
2021-08-26,Spider-Man,2002,https://boxd.it/2a8i,4
2021-09-04,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2021-09-05,Raya and the Last Dragon,2021,https://boxd.it/jbkI,3.5
2021-09-06,Before Midnight,2013,https://boxd.it/4ive,5
2021-09-06,Shakuntala Devi,2020,https://boxd.it/pltC,1.5
2021-09-06,Gulabo Sitabo,2020,https://boxd.it/mArq,4
2021-09-07,The Suicide Squad,2021,https://boxd.it/fw6O,3.5
2021-09-15,Shiva Baby,2020,https://boxd.it/oIv0,4.5
2021-09-15,Romeo & Juliet,2021,https://boxd.it/tePY,4
2021-09-25,Pitch Perfect,2012,https://boxd.it/3OsE,3.5
2021-09-26,The Love Witch,2016,https://boxd.it/cZie,3
2021-09-26,The Handmaiden,2016,https://boxd.it/948A,5
2021-09-29,The Farewell,2019,https://boxd.it/kIky,4
2021-09-29,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2021-09-30,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2021-10-01,Spotlight,2015,https://boxd.it/a84k,4.5
2021-10-03,Y Tu Mamá También,2001,https://boxd.it/28QM,4.5
2021-10-07,Rope,1948,https://boxd.it/28yo,4
2021-10-11,Scam 1992 - The Harshad Mehta Story,2020,https://boxd.it/shWQ,3
2021-10-26,The Day of the Jackal,1973,https://boxd.it/23GM,3.5
2021-10-27,National Theatre Live: Fleabag,2019,https://boxd.it/mXOW,4.5
2021-10-27,Harold & Kumar Go to White Castle,2004,https://boxd.it/1Ueu,3.5
2021-10-30,Amélie,2001,https://boxd.it/2aUc,5
2021-11-03,Bad Times at the El Royale,2018,https://boxd.it/fSA2,4
2021-11-10,Free Guy,2021,https://boxd.it/k8dm,3
2021-11-12,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2021-11-12,Last Night in Soho,2021,https://boxd.it/lbJC,3.5
2021-11-14,Game Night,2018,https://boxd.it/fRtu,4
2021-11-14,Horrible Bosses,2011,https://boxd.it/Ba2,3.5
2021-11-14,Horrible Bosses 2,2014,https://boxd.it/6HWy,3.5
2021-11-14,Midnight in Paris,2011,https://boxd.it/i4a,3.5
2021-11-20,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/ta4a,4
2021-11-20,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/tMkU,4.5
2021-11-21,Spencer,2021,https://boxd.it/qPMG,5
2021-11-26,Blue Is the Warmest Color,2013,https://boxd.it/4O40,4
2021-11-26,The Carnival Is Over,2018,https://boxd.it/jXI4,4
2021-11-26,Carol,2015,https://boxd.it/7DPK,4.5
2021-11-28,Little Women,2019,https://boxd.it/aSVk,4.5
2021-11-29,Help,2021,https://boxd.it/vaiU,4.5
2021-12-06,The Power of the Dog,2021,https://boxd.it/m99E,4
2021-12-06,Sorry to Bother You,2018,https://boxd.it/f21E,4.5
2021-12-09,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4
2021-12-09,Ex Machina,2015,https://boxd.it/7T2k,4.5
2021-12-17,The Last Duel,2021,https://boxd.it/mQbe,5
2021-12-29,Happiest Season,2020,https://boxd.it/iS3I,3.5
2021-12-30,Kajillionaire,2020,https://boxd.it/jJDY,4.5
2022-01-01,The Favourite,2018,https://boxd.it/d2hI,4.5
2022-01-02,Booksmart,2019,https://boxd.it/igNS,5
2022-01-04,A Death in the Gunj,2016,https://boxd.it/enKe,4.5
2022-01-05,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-01-08,Breathe,2014,https://boxd.it/87L4,4
2022-01-09,Anna and the Apocalypse,2017,https://boxd.it/gwcE,4.5
2022-01-18,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,5
2022-02-19,But I'm a Cheerleader,1999,https://boxd.it/1CW4,3.5
2022-02-19,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,4.5
2022-02-21,The Philadelphia Story,1940,https://boxd.it/29a8,4
2022-02-23,My Neighbor Totoro,1988,https://boxd.it/20eA,5
2022-02-24,Ingrid Goes West,2017,https://boxd.it/evUQ,3.5
2022-02-27,Rear Window,1954,https://boxd.it/2a6Q,4
2022-03-06,The Batman,2022,https://boxd.it/eDGs,4
2022-03-12,Pleasure,2021,https://boxd.it/lPcy,4
2022-03-13,Singin' in the Rain,1952,https://boxd.it/29oY,5
2022-03-16,Turning Red,2022,https://boxd.it/ipkq,4.5
2022-03-19,Petite Maman,2021,https://boxd.it/s6je,4.5
2022-03-26,American Psycho,2000,https://boxd.it/28Vs,4
2022-04-01,The Green Knight,2021,https://boxd.it/kuy2,4.5
2022-04-06,Fresh,2022,https://boxd.it/tCNi,4
2022-04-24,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2022-04-25,Chungking Express,1994,https://boxd.it/1UDa,4.5
2022-04-27,The Eunuch and the Flute Player,2017,https://boxd.it/iYSi,4.5
2022-04-30,Ocean's Eight,2018,https://boxd.it/eaai,4
2022-05-02,Point Break,1991,https://boxd.it/2958,5
2022-05-04,Loves of a Blonde,1965,https://boxd.it/13NG,4
2022-05-07,Captain Fantastic,2016,https://boxd.it/b2K2,5
2022-05-08,Praktan,2016,https://boxd.it/eSsA,4
2022-05-13,Black Swan,2010,https://boxd.it/Sw0,4
2022-05-15,Happening,2021,https://boxd.it/tRts,4.5
2022-05-17,Oldboy,2003,https://boxd.it/29R2,4.5
2022-06-24,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2022-06-26,Hustlers,2019,https://boxd.it/jIBM,4.5
2022-06-27,BPM,2017,https://boxd.it/nBTi,4.5
2022-06-27,BPM (Beats per Minute),2017,https://boxd.it/g796,4.5
2022-07-03,Crush,2022,https://boxd.it/wuHW,3
